TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,CONF_COUNT,DIV_COUNT,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK
1610612740,New Orleans,Pelicans,2021,82,36,46,0.439,8,3,2,4,15,5,N/A,3294,7212,0.457,873,2629,0.332,1501,1903,0.789,981,2726,3707,2047,1612,680,1153,328,8962,21
1610612740,New Orleans,Pelicans,2022,82,42,40,0.512,9,2,0,0,15,5,N/A,3447,7180,0.48,899,2468,0.364,1585,2000,0.793,866,2717,3583,2122,1678,681,1196,337,9378,15
1610612741,Chicago,Bulls,2013,82,48,34,0.585,4,2,1,4,15,5,N/A,2843,6577,0.432,508,1459,0.348,1486,1908,0.779,937,2683,3620,1860,1565,594,1223,424,7680,30
1610612741,Chicago,Bulls,2014,82,50,32,0.61,3,2,6,6,15,5,N/A,3001,6797,0.442,645,1825,0.353,1618,2067,0.783,959,2792,3751,1781,1495,514,1145,476,8265,15
1610612741,Chicago,Bulls,2015,82,42,40,0.512,9,4,0,0,15,5,N/A,3165,7170,0.441,651,1753,0.371,1354,1720,0.787,907,2889,3796,1870,1545,495,1141,470,8335,21
1610612741,Chicago,Bulls,2016,82,41,41,0.5,8,4,2,4,15,5,N/A,3169,7141,0.444,623,1831,0.34,1474,1848,0.798,999,2797,3796,1851,1455,643,1112,393,8435,23
1610612741,Chicago,Bulls,2017,82,27,55,0.329,13,5,0,0,15,5,N/A,3170,7285,0.435,906,2549,0.355,1194,1574,0.759,790,2872,3662,1923,1571,626,1147,289,8440,26
1610612741,Chicago,Bulls,2018,82,22,60,0.268,13,4,0,0,15,5,N/A,3266,7205,0.453,745,2123,0.351,1328,1695,0.783,718,2799,3517,1796,1663,603,1159,351,8605,27
1610612741,Chicago,Bulls,2019,65,22,43,0.338,11,3,0,0,15,5,N/A,2573,5762,0.447,793,2282,0.348,1006,1332,0.755,680,2041,2721,1510,1417,652,1005,265,6945,28
1610612741,Chicago,Bulls,2020,72,31,41,0.431,11,3,0,0,15,5,N/A,3035,6380,0.476,904,2446,0.37,995,1258,0.791,693,2544,3237,1927,1362,482,1089,304,7969,21
1610612741,Chicago,Bulls,2021,82,46,36,0.561,6,2,1,4,15,5,N/A,3422,7127,0.48,872,2364,0.369,1436,1766,0.813,711,2760,3471,1958,1540,585,1053,336,9152,13
1610612741,Chicago,Bulls,2022,82,40,42,0.488,10,3,0,0,15,5,N/A,3488,7116,0.49,854,2367,0.361,1446,1788,0.809,694,2779,3473,2006,1551,644,1097,371,9276,22
1610612742,Dallas,Mavericks,2013,82,49,33,0.598,8,4,3,4,15,5,N/A,3249,6858,0.474,721,1877,0.384,1378,1733,0.795,840,2514,3354,1935,1636,704,1110,356,8597,8
1610612742,Dallas,Mavericks,2014,82,50,32,0.61,7,4,1,4,15,5,N/A,3255,7036,0.463,732,2082,0.352,1386,1843,0.752,858,2608,3466,1846,1644,663,1062,371,8628,3
1610612742,Dallas,Mavericks,2015,82,42,40,0.512,6,2,1,4,15,5,N/A,3064,6900,0.444,806,2342,0.344,1454,1831,0.794,751,2781,3532,1813,1595,560,1047,306,8388,16
1610612742,Dallas,Mavericks,2016,82,33,49,0.402,11,5,0,0,15,5,N/A,2968,6750,0.44,878,2473,0.355,1215,1516,0.801,647,2516,3163,1705,1567,614,972,307,8029,30
1610612742,Dallas,Mavericks,2017,82,24,58,0.293,13,4,0,0,15,5,N/A,3128,7042,0.444,967,2688,0.36,1167,1530,0.763,666,2717,3383,1858,1578,578,1007,310,8390,28
1610612742,Dallas,Mavericks,2018,82,33,49,0.402,14,5,0,0,15,5,N/A,3182,7122,0.447,1022,3002,0.34,1541,2076,0.742,832,2884,3716,1918,1650,533,1167,351,8927,21
1610612742,Dallas,Mavericks,2019,75,43,32,0.573,7,2,2,4,15,5,N/A,3124,6772,0.461,1136,3095,0.367,1392,1787,0.779,791,2729,3520,1849,1462,460,953,363,8776,1
1610612742,Dallas,Mavericks,2020,72,42,30,0.583,5,1,3,4,15,5,N/A,2958,6287,0.47,994,2744,0.362,1186,1524,0.778,657,2463,3120,1647,1396,450,869,311,8096,17
1610612742,Dallas,Mavericks,2021,82,52,30,0.634,4,2,9,9,15,5,N/A,3222,6982,0.461,1073,3063,0.35,1341,1739,0.771,759,2769,3528,1918,1612,552,1025,325,8858,24
1610612742,Dallas,Mavericks,2022,82,38,44,0.463,11,3,0,0,15,5,N/A,3283,6909,0.475,1246,3362,0.371,1554,2057,0.755,625,2556,3181,1880,1697,514,1002,304,9366,16
1610612743,Denver,Nuggets,2013,82,36,46,0.439,11,4,0,0,15,5,N/A,3147,7042,0.447,702,1959,0.358,1563,2154,0.726,1009,2717,3726,1838,1890,615,1305,459,8559,9
1610612743,Denver,Nuggets,2014,82,30,52,0.366,12,4,0,0,15,5,N/A,3099,7158,0.433,660,2032,0.325,1462,1991,0.734,1012,2653,3665,1788,1882,641,1166,367,8320,12
1610612743,Denver,Nuggets,2015,82,33,49,0.402,11,4,0,0,15,5,N/A,3093,7003,0.442,656,1943,0.338,1513,1974,0.766,941,2718,3659,1858,1723,609,1202,395,8355,20
1610612743,Denver,Nuggets,2016,82,40,42,0.488,9,4,0,0,15,5,N/A,3377,7194,0.469,870,2365,0.368,1537,1986,0.774,966,2837,3803,2077,1567,568,1226,323,9161,3
1610612743,Denver,Nuggets,2017,82,46,36,0.561,9,5,0,0,15,5,N/A,3338,7102,0.47,940,2536,0.371,1404,1830,0.767,902,2748,3650,2059,1533,627,1226,404,9020,6
1610612743,Denver,Nuggets,2018,82,54,28,0.659,2,1,7,7,15,5,N/A,3439,7384,0.466,903,2571,0.351,1294,1714,0.755,972,2832,3804,2245,1644,634,1102,363,9075,20
1610612743,Denver,Nuggets,2019,73,46,27,0.63,3,1,9,10,15,5,N/A,3069,6488,0.473,801,2234,0.359,1185,1526,0.777,786,2436,3222,1952,1485,586,1005,337,8124,12
1610612743,Denver,Nuggets,2020,72,47,25,0.653,3,2,4,6,15,5,N/A,3114,6422,0.485,927,2462,0.377,1129,1406,0.803,758,2442,3200,1933,1374,582,972,323,8284,8
1610612743,Denver,Nuggets,2021,82,48,34,0.585,6,2,1,4,15,5,N/A,3416,7079,0.483,1039,2944,0.353,1372,1725,0.795,752,2865,3617,2279,1639,592,1189,305,9243,10
1610612743,Denver,Nuggets,2022,82,53,29,0.646,1,1,16,4,15,5,LEAGUE CHAMPION,3574,7088,0.504,969,2559,0.379,1378,1834,0.751,828,2699,3527,2368,1525,618,1192,368,9495,12
